Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad)
Aria - Ansley Area Rug,"<div class=""product-overview-data"">
<p><p>With the diverse Aria collection, Palmetto Living by Orian draws inspiration from the world over - reinventing timeless motifs in updated color palettes and practical modern materials. The handsome Ansley area rug is especially versatile with its classical pattern and antique abrash.</p><ul><li>Delicate botanical motifs trace an elegant rhythm across this traditional area rug, each edge bounded by an equally intricate border. Use this piece where you want all the charm of a well-worn vintage textile without the complicated upkeep. </li><li>Aria collection area rugs are machine-made with exacting detail. The polypropylene rug pile is tightly twisted for plush volume underfoot, cut short for easy maintenance. </li><li>Vacuum regularly with the beater brush component disengaged. Rotate periodically to promote even wear. </li><li>Made in the United States.</li></ul></p>
</div>",Palmetto Living by Orian,Color,"Blue, Ivory ",Size,"5'1"" x 7'6"" Rectangular",757.00,412.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-rs.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/136268/218977/ws_aria_8201.jpg",1.0,Ansley,"Blue, Ivory (8201)",Traditional / Oriental,100% Synthetic,Machine-Made,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/136268/218977/ws_aria_8201.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-2796-rs.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-alt1.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-bk.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-cn.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-rl.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-cu.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-alt2.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-alt3.jpg",,,,,,,,,,,,,,
Aria - Ansley Area Rug,"<div class=""product-overview-data"">
<p><p>With the diverse Aria collection, Palmetto Living by Orian draws inspiration from the world over - reinventing timeless motifs in updated color palettes and practical modern materials. The handsome Ansley area rug is especially versatile with its classical pattern and antique abrash.</p><ul><li>Delicate botanical motifs trace an elegant rhythm across this traditional area rug, each edge bounded by an equally intricate border. Use this piece where you want all the charm of a well-worn vintage textile without the complicated upkeep. </li><li>Aria collection area rugs are machine-made with exacting detail. The polypropylene rug pile is tightly twisted for plush volume underfoot, cut short for easy maintenance. </li><li>Vacuum regularly with the beater brush component disengaged. Rotate periodically to promote even wear. </li><li>Made in the United States.</li></ul></p>
</div>",Palmetto Living by Orian,Color,"Blue, Ivory ",Size,"7'8"" x 10'10"" Rectangular","1,566.00",852.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-alt3.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/136268/218977/ws_aria_8201.jpg",1.0,Ansley,"Blue, Ivory (8201)",Traditional / Oriental,100% Synthetic,Machine-Made,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended
Aria - Ansley Area Rug,"<div class=""product-overview-data"">
<p><p>With the diverse Aria collection, Palmetto Living by Orian draws inspiration from the world over - reinventing timeless motifs in updated color palettes and practical modern materials. The handsome Ansley area rug is especially versatile with its classical pattern and antique abrash.</p><ul><li>Delicate botanical motifs trace an elegant rhythm across this traditional area rug, each edge bounded by an equally intricate border. Use this piece where you want all the charm of a well-worn vintage textile without the complicated upkeep. </li><li>Aria collection area rugs are machine-made with exacting detail. The polypropylene rug pile is tightly twisted for plush volume underfoot, cut short for easy maintenance. </li><li>Vacuum regularly with the beater brush component disengaged. Rotate periodically to promote even wear. </li><li>Made in the United States.</li></ul></p>
</div>",Palmetto Living by Orian,Color,"Blue, Ivory ",Size,"8'10"" x 13' Rectangular","2,154.00","1,172.00","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/0/218977/ws_aria_8201_ansley_lt_blue-alt3.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17707/136268/218977/ws_aria_8201.jpg",1.0,Ansley,"Blue, Ivory (8201)",Traditional / Oriental,100% Synthetic,Machine-Made,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended
Adagio - Textured Penny Area Rug,"<div class=""product-overview-data"">
<p><p>Enhance the visual interest in any space by using our Palmetto Living by Orian Adagio Textured Penny rug as your foundation piece. Featuring a lively geometric design in subdued tones, it's at once playful and balanced.</p><ul><li>By crafting this collection of polypropylene, we ensured that it's a favorite of families and pet owners because of this fiber's inherent stain and fade-resistance. </li><li>With a mix of warm and cool tones in a geometric pattern, our stylish floor covering adds depth and dimension to your bedroom, living area, or dining space. </li><li>Our synthetic area rug features a power-loomed construction and polypropylene yarns in a high pile height. </li><li>Do not rub to remove liquid spills, but blot with a clean, dry cloth to absorb the liquid before the stain sets. </li><li>Made in USA.</li></ul></p>
</div>",Palmetto Living by Orian,Color,"Blue, Rust, Indigo ",Size,"5'1"" x 7'6"" Rectangular",757.00,412.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17706/136266/218975/ws_adagio_8231.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00050/17706/136266/218975/ws_adagio_8231.jpg",1.0,Textured Penny,"Blue, Rust, Indigo (8231)",Geometric,100% Synthetic,Machine-Made,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended
