Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Shape (product.metafields.custom.shape),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad),Designer (product.metafields.custom.designer)
Spice Market - Deir Area Rug,"<div class=""product-overview-data"">
<p><p>You can make a visual and structural statement with our Karastan Spice Market Deir rug because this unique piece features an ornate, traditional look in jewel tones as well as an eco-friendly construction of post-consumer yarns.</p><ul><li>The Spice Market collection boasts a soft feel, inherent durability, and ecofriendly construction for incredible versatility. </li><li>Add a striking statement piece to any bedroom, living room, or entryway with the timeless charm of this traditional piece, which features a balanced look of cool aquamarine and warm red tones. </li><li>Power-loomed of PET fibers that are made from recycled plastic bottles, this high-pile rug is both soft and resilient. </li><li>Professional rug cleaning is recommended for deep-set stains or difficult spills.</li></ul></p>
</div>",Karastan,Color,"Aquamarine, Red ",Size,"3'5"" x 5'5"" Rectangular",319.00,207.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123024036_silo_03282022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123063094_silo_03282022.jpg",1.0,Deir,"Aquamarine, Red (90665-50123)",Traditional / Oriental,100% PET,Machine-Made,Also in shapes other than rectangle,"3⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended,
Spice Market - Deir Area Rug,"<div class=""product-overview-data"">
<p><p>You can make a visual and structural statement with our Karastan Spice Market Deir rug because this unique piece features an ornate, traditional look in jewel tones as well as an eco-friendly construction of post-consumer yarns.</p><ul><li>The Spice Market collection boasts a soft feel, inherent durability, and ecofriendly construction for incredible versatility. </li><li>Add a striking statement piece to any bedroom, living room, or entryway with the timeless charm of this traditional piece, which features a balanced look of cool aquamarine and warm red tones. </li><li>Power-loomed of PET fibers that are made from recycled plastic bottles, this high-pile rug is both soft and resilient. </li><li>Professional rug cleaning is recommended for deep-set stains or difficult spills.</li></ul></p>
</div>",Karastan,Color,"Aquamarine, Red ",Size,"5'3"" x 7'10"" Rectangular",689.00,439.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123024036_silo_03282022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123063094_silo_03282022.jpg",1.0,Deir,"Aquamarine, Red (90665-50123)",Traditional / Oriental,100% PET,Machine-Made,Also in shapes other than rectangle,"3⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended,
Spice Market - Deir Area Rug,"<div class=""product-overview-data"">
<p><p>You can make a visual and structural statement with our Karastan Spice Market Deir rug because this unique piece features an ornate, traditional look in jewel tones as well as an eco-friendly construction of post-consumer yarns.</p><ul><li>The Spice Market collection boasts a soft feel, inherent durability, and ecofriendly construction for incredible versatility. </li><li>Add a striking statement piece to any bedroom, living room, or entryway with the timeless charm of this traditional piece, which features a balanced look of cool aquamarine and warm red tones. </li><li>Power-loomed of PET fibers that are made from recycled plastic bottles, this high-pile rug is both soft and resilient. </li><li>Professional rug cleaning is recommended for deep-set stains or difficult spills.</li></ul></p>
</div>",Karastan,Color,"Aquamarine, Red ",Size,8' x 8' Round,949.00,719.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123024036_silo_03282022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123063094_silo_03282022.jpg",1.0,Deir,"Aquamarine, Red (90665-50123)",Traditional / Oriental,100% PET,Machine-Made,Also in shapes other than rectangle,"3⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended,
Spice Market - Deir Area Rug,"<div class=""product-overview-data"">
<p><p>You can make a visual and structural statement with our Karastan Spice Market Deir rug because this unique piece features an ornate, traditional look in jewel tones as well as an eco-friendly construction of post-consumer yarns.</p><ul><li>The Spice Market collection boasts a soft feel, inherent durability, and ecofriendly construction for incredible versatility. </li><li>Add a striking statement piece to any bedroom, living room, or entryway with the timeless charm of this traditional piece, which features a balanced look of cool aquamarine and warm red tones. </li><li>Power-loomed of PET fibers that are made from recycled plastic bottles, this high-pile rug is both soft and resilient. </li><li>Professional rug cleaning is recommended for deep-set stains or difficult spills.</li></ul></p>
</div>",Karastan,Color,"Aquamarine, Red ",Size,8' x 11' Rectangular,"1,389.00",887.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123024036_silo_03282022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123063094_silo_03282022.jpg",1.0,Deir,"Aquamarine, Red (90665-50123)",Traditional / Oriental,100% PET,Machine-Made,Also in shapes other than rectangle,"3⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended,
Spice Market - Deir Area Rug,"<div class=""product-overview-data"">
<p><p>You can make a visual and structural statement with our Karastan Spice Market Deir rug because this unique piece features an ornate, traditional look in jewel tones as well as an eco-friendly construction of post-consumer yarns.</p><ul><li>The Spice Market collection boasts a soft feel, inherent durability, and ecofriendly construction for incredible versatility. </li><li>Add a striking statement piece to any bedroom, living room, or entryway with the timeless charm of this traditional piece, which features a balanced look of cool aquamarine and warm red tones. </li><li>Power-loomed of PET fibers that are made from recycled plastic bottles, this high-pile rug is both soft and resilient. </li><li>Professional rug cleaning is recommended for deep-set stains or difficult spills.</li></ul></p>
</div>",Karastan,Color,"Aquamarine, Red ",Size,"9'6"" x 12'11"" Rectangular","1,999.00","1,279.20","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123024036_silo_03282022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123063094_silo_03282022.jpg",1.0,Deir,"Aquamarine, Red (90665-50123)",Traditional / Oriental,100% PET,Machine-Made,Also in shapes other than rectangle,"3⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended,
Spice Market - Deir Area Rug,"<div class=""product-overview-data"">
<p><p>You can make a visual and structural statement with our Karastan Spice Market Deir rug because this unique piece features an ornate, traditional look in jewel tones as well as an eco-friendly construction of post-consumer yarns.</p><ul><li>The Spice Market collection boasts a soft feel, inherent durability, and ecofriendly construction for incredible versatility. </li><li>Add a striking statement piece to any bedroom, living room, or entryway with the timeless charm of this traditional piece, which features a balanced look of cool aquamarine and warm red tones. </li><li>Power-loomed of PET fibers that are made from recycled plastic bottles, this high-pile rug is both soft and resilient. </li><li>Professional rug cleaning is recommended for deep-set stains or difficult spills.</li></ul></p>
</div>",Karastan,Color,"Aquamarine, Red ",Size,12' x 15' Rectangular,"1,800.00","1,440.00","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123024036_silo_03282022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/15832/121777/195703/ws_deir_aquamarine_9066550123063094_silo_03282022.jpg",1.0,Deir,"Aquamarine, Red (90665-50123)",Traditional / Oriental,100% PET,Machine-Made,Also in shapes other than rectangle,"3⁄8"" (approx.)",No decorative fringe,Indoor Only,United States,Not available,Not available,Recommended,
Haberdasher - Hand Tufted Area Rug,"<div class=""product-overview-data"">
<p><p>Strong visual textures bring dimension to the Haberdasher Hand Tufted area rug by Karastan. This design is made with practicality in mind, its versatile look and durable construction able to weather your most active interior placements.</p><ul><li>Choose from several monochromatic colorways to best suit your interior decor theme, each one easy to coordinate. </li><li> A rich crosshatch design gives this contemporary rug the look of a woven fabric. Take advantage of its plush texture for quiet areas like bedrooms or let its strength shine in high-traffic spaces like entryways or living spaces. </li><li> Haberdasher collection rugs are hand-tufted for artisanal appeal. This blended rug is made with a combination of stain-resistant polyester and satisfying natural wool. </li><li> Rotate annually to ensure even wear. Vacuum weekly on a low power setting, avoiding the use of any type of brush roll or beater bar.</li></ul></p>
</div>",Karastan,Color,Stucco ,Size,2' x 8' Rectangular runner,369.00,239.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/19293/143742/231601/ws_haberdasher_stucco_rg175_115_060096_style1.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/19293/143742/231601/ws_haberdasher_stucco_rg175_115_060096_silo.jpg",1.0,Hand Tufted,Stucco (175-115),Contemporary / Modern,"70% Polyester, 30% Wool",Hand-Tufted,,"1⁄4"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Not necessary,
Haberdasher - Hand Tufted Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/19293/143742/231601/ws_haberdasher_stucco_rg175_115_060096_silo.jpg",,,,,,,,,,,,,,,,
Haberdasher - Hand Tufted Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/19293/143742/231601/ws_haberdasher_stucco_rg175_115_060096_style2.jpg",,,,,,,,,,,,,,,,
Haberdasher - Hand Tufted Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/19293/143742/231601/ws_haberdasher_stucco_rg175_115_060096_closeup.jpg",,,,,,,,,,,,,,,,
